antecedent,consequent,support,confidence,lift
eggs,pasta,0.1123,0.3204,0.9377
cereal,rice,0.115,0.3261,0.9356
coffee,fruit,0.1138,0.3228,0.9288
yogurt,chicken,0.1118,0.3237,0.9283
milk,cereal,0.1156,0.3271,0.9277
yogurt,rice,0.1116,0.3231,0.9269
bread,fruit,0.1131,0.3213,0.9244
bread,pasta,0.1109,0.3151,0.922
milk,yogurt,0.1125,0.3183,0.9216
bread,coffee,0.1139,0.3236,0.918
cereal,chicken,0.1127,0.3196,0.9166
coffee,cereal,0.1139,0.3231,0.9164
coffee,chicken,0.1126,0.3194,0.9161
eggs,yogurt,0.1108,0.3161,0.9152
milk,bread,0.1135,0.3212,0.9124
coffee,rice,0.1121,0.318,0.9123
fruit,yogurt,0.1095,0.315,0.912
fruit,chicken,0.1105,0.3179,0.9117
eggs,rice,0.1112,0.3173,0.9101
bread,chicken,0.1116,0.317,0.9092
bread,rice,0.1114,0.3165,0.9079
chicken,rice,0.1103,0.3163,0.9074
eggs,coffee,0.112,0.3195,0.9065
eggs,fruit,0.1104,0.315,0.9062
coffee,pasta,0.1091,0.3095,0.9058
bread,cereal,0.1124,0.3193,0.9056
milk,rice,0.1114,0.3152,0.9043
milk,eggs,0.112,0.3169,0.9042
bread,yogurt,0.1097,0.3116,0.9023
chicken,pasta,0.1075,0.3083,0.9022
milk,fruit,0.1108,0.3135,0.902
milk,chicken,0.111,0.3141,0.9008
fruit,pasta,0.1069,0.3075,0.9
coffee,yogurt,0.1092,0.3098,0.8969
milk,coffee,0.1117,0.3161,0.8967
fruit,rice,0.1085,0.3121,0.8954
eggs,chicken,0.1094,0.3121,0.8951
eggs,cereal,0.1102,0.3144,0.8917
bread,eggs,0.1099,0.3122,0.8908
yogurt,pasta,0.1045,0.3025,0.8854
milk,pasta,0.1069,0.3025,0.8853
cereal,pasta,0.1065,0.302,0.8839
yogurt,cereal,0.1055,0.3054,0.8663
fruit,cereal,0.1061,0.3052,0.8657
rice,pasta,0.1004,0.288,0.8429
