model,parameter,n_clusters,coverage,silhouette,davies_bouldin,calinski_harabasz,coverage_adjusted_silhouette
K-Means,k=2,2,1.0,0.33547192894004574,1.2606822880201844,107.09556673899093,0.33547192894004574
Hierarchical (Ward),k=2,2,1.0,0.31795733680759597,1.3082962894168522,99.00066801676013,0.31795733680759597
K-Means,k=3,3,1.0,0.35779338871027205,1.050270139649266,101.6949470919303,0.35779338871027205
Hierarchical (Ward),k=3,3,1.0,0.32148866683112387,1.1277290061047862,88.10174149244529,0.32148866683112387
K-Means,k=4,4,1.0,0.4039582785148566,0.9307956868103672,125.67639662405028,0.4039582785148566
Hierarchical (Ward),k=4,4,1.0,0.3614512741691407,1.0163821773024595,102.01939926024944,0.3614512741691407
K-Means,k=5,5,1.0,0.41664341513732767,0.874551051002418,125.10094020060954,0.41664341513732767
Hierarchical (Ward),k=5,5,1.0,0.39002826186267214,0.9162886109753661,107.82656032570374,0.39002826186267214
K-Means,k=6,6,1.0,0.42742814991580175,0.8277427938879608,135.10221697157,0.42742814991580175
Hierarchical (Ward),k=6,6,1.0,0.4201169558789579,0.8521020845733146,127.98645433956887,0.4201169558789579
K-Means,k=7,7,1.0,0.4172318949549161,0.7934668170964964,132.77430922888286,0.4172318949549161
Hierarchical (Ward),k=7,7,1.0,0.3982948069934959,0.8513293747552518,120.6868052692565,0.3982948069934959
K-Means,k=8,8,1.0,0.4086811760366162,0.8892781962085714,131.07444613613006,0.4086811760366162
Hierarchical (Ward),k=8,8,1.0,0.36647935858620495,0.8415867719430778,118.06679638909685,0.36647935858620495
K-Means,k=9,9,1.0,0.4200735068174298,0.854109418051159,131.24231591335763,0.4200735068174298
Hierarchical (Ward),k=9,9,1.0,0.3753854624760522,0.8582348611138735,117.47512295202333,0.3753854624760522
K-Means,k=10,10,1.0,0.39728404472961004,0.9056138840086442,133.38482835813724,0.39728404472961004
Hierarchical (Ward),k=10,10,1.0,0.3808885873908944,0.8854706168130535,117.2218945177966,0.3808885873908944
DBSCAN,"eps=0.55, min_samples=8",5,0.69,0.5157786469851239,0.6404692392027449,155.6717547591075,0.35588726641973545
